uid,time,action
115435,1704199692,1
101989,1704169499,2
105564,1704213091,3
106401,1704157789,1
116310,1704194012,1
117628,1704177100,1
104424,1704173793,3
106384,1704184790,1
115686,1704219403,2
111789,1704189811,1
105562,1704229304,2
129025,1704227013,3
119507,1704236775,2
127006,1704237582,2
116814,1704170801,2
127225,1704201643,3
100252,1704229219,1
111593,1704223361,3
114169,1704182902,2
124505,1704183079,3
128168,1704224029,3
122442,1704186667,1
125606,1704212422,1
122607,1704163439,3
104093,1704209628,1
112246,1704227189,3
101848,1704164891,1
123231,1704234648,2
116882,1704185500,3
121022,1704156068,2
128103,1704223246,1
107131,1704160342,2
117173,1704188552,3
128587,1704219646,1
128676,1704204595,1
104317,1704205671,2
124837,1704238852,1
123664,1704190230,2
103150,1704239289,3
129586,1704186636,1
122028,1704202379,3
111238,1704220952,1
125175,1704207467,3
122968,1704183450,2
109421,1704177338,3
112258,1704217053,3
107759,1704162893,3
121015,1704196487,1
102125,1704212709,3
128877,1704169117,1
123366,1704207122,3
106507,1704198079,2
119930,1704225709,1
122974,1704208254,3
101519,1704181716,1
111970,1704199116,1
105478,1704175084,2
111464,1704160514,1
111064,1704188588,2
128588,1704219987,1
119399,1704168198,3
123208,1704208224,3
116732,1704228112,3
105107,1704180120,3
122806,1704173653,3
119359,1704225736,3
121182,1704238725,1
110125,1704208337,2
111313,1704196184,2
120937,1704234378,1
102768,1704176261,3
105683,1704225702,3
121869,1704170674,3
129273,1704217593,1
119582,1704175180,3
113848,1704177553,1
128200,1704207643,1
128836,1704226236,1
115914,1704155771,3
129331,1704211474,2
102513,1704194475,1
105273,1704191407,3
107891,1704208638,3
123918,1704198547,3
107366,1704161111,3
106736,1704220785,2
126105,1704218543,1
121369,1704215048,1
116394,1704208845,1
105270,1704185926,2
101307,1704203664,1
114970,1704181248,2
110106,1704206240,2
115558,1704219306,2
101211,1704194310,1
120867,1704160641,2
125941,1704177272,2
111195,1704189036,3
122412,1704176609,3
115370,1704201875,1
129986,1704166687,3
108050,1704236138,3
117337,1704190941,1
102883,1704174210,1
128543,1704169310,1
106817,1704224742,1
110432,1704178321,1
128033,1704238969,1
109928,1704180634,2
103469,1704171958,2
128392,1704190882,2
109068,1704198200,3
116247,1704202632,2
127480,1704184559,3
110168,1704222817,2
105082,1704158978,2
109721,1704155589,2
121000,1704211289,1
110864,1704219189,1
109242,1704179556,3
116342,1704171238,3
100608,1704203013,1
102713,1704176665,3
121595,1704223796,1
112250,1704198498,2
104263,1704222591,1
129065,1704211289,3
125373,1704194097,2
118667,1704167354,1
102467,1704223843,2
121642,1704173255,2
125687,1704239392,1
125993,1704203084,3
105500,1704197705,3
122468,1704161553,1
109251,1704162152,3
115039,1704233814,2
119711,1704210290,2
101865,1704213346,3
125457,1704186639,3
121469,1704155009,1
107640,1704204085,1
127269,1704235684,1
101145,1704237936,1
122640,1704200695,1
110771,1704226093,1
103115,1704199120,3
128816,1704191395,2
101264,1704187880,1
108706,1704212463,3
128551,1704183258,2
125961,1704213660,3
119002,1704184037,2
117476,1704159096,2
107990,1704215214,1
105820,1704212318,1
117036,1704208170,3
106870,1704217786,2
107977,1704167849,3
111236,1704174665,2
101919,1704236936,2
116448,1704213698,1
125292,1704153662,1
118338,1704194160,2
120969,1704208492,2
111722,1704193587,1
106237,1704192005,3
102926,1704227754,1
107794,1704169169,2
102903,1704174181,2
116298,1704238248,1
119796,1704213601,1
104530,1704209705,1
126316,1704177679,2
114370,1704183385,2
124389,1704211998,2
117824,1704214397,3
126468,1704177535,2
100557,1704171843,2
120983,1704192600,2
121941,1704205291,1
104427,1704163315,3
115296,1704231111,3
105035,1704219657,2
129009,1704209575,2
115575,1704172745,2
128959,1704187667,3
116992,1704227627,3
118279,1704208616,1
122217,1704191899,3
119457,1704208317,1
116438,1704169379,2
106958,1704189522,2
103173,1704228782,1
116890,1704233864,3
103767,1704156985,2
102362,1704207170,1
119497,1704210596,3
107872,1704220111,3
106084,1704154876,3
114540,1704197091,2
128676,1704183846,2
127916,1704200128,1
117151,1704201203,1
109311,1704206984,1
122487,1704180365,1
106650,1704221271,3
111207,1704232390,3
106933,1704175106,3
125772,1704238676,3
106897,1704157805,2
121473,1704197091,3
103945,1704190943,3
119595,1704184470,3
117756,1704184154,1
117646,1704222398,1
103155,1704208297,1
129984,1704181496,2
115645,1704193755,2
122825,1704157641,2
115827,1704223201,3
