uid,dob,gender,province,country
125850,1977-11-28,2,31,vn
106085,1956-02-19,1,39,vn
127710,1998-10-28,2,9,vn
121727,1994-01-12,1,2,vn
113324,1956-03-20,2,3,vn
105638,1995-03-27,1,32,vn
122607,2007-06-27,1,13,vn
112072,1970-06-28,2,6,vn
118057,1999-05-31,1,14,vn
101281,1994-04-22,1,49,vn
102825,2002-11-02,1,39,vn
129576,1952-12-25,2,63,vn
122994,1955-10-03,1,48,vn
103423,1979-08-26,2,21,vn
113722,1975-04-23,1,9,vn
113137,1997-12-30,1,39,vn
106411,1986-08-21,2,63,vn
110098,1984-10-17,1,32,vn
106140,1960-05-22,1,8,vn
103488,2009-01-17,1,45,vn
129952,1983-03-24,2,4,vn
118577,1956-12-23,1,49,vn
115664,1953-11-01,2,61,vn
114842,1964-12-23,1,12,vn
110556,1971-09-22,1,15,vn
100603,2001-03-05,1,25,vn
105236,1999-01-07,2,58,vn
111424,1969-03-04,2,3,vn
117632,1981-05-08,2,44,vn
120218,1992-06-13,1,27,vn
111378,1998-02-10,1,47,vn
103308,1977-05-04,1,23,vn
106508,1970-09-14,2,21,vn
128046,2009-04-26,2,21,vn
120270,1957-01-04,2,59,vn
106921,1970-11-22,1,60,vn
129111,1956-08-28,1,35,vn
114402,2009-03-24,2,39,vn
109504,1950-10-13,1,36,vn
103887,1981-07-28,1,20,vn
126739,1988-03-25,1,5,vn
104755,1975-05-02,1,30,vn
116360,1998-11-24,2,36,vn
114110,1999-12-25,2,34,vn
102392,1975-11-11,1,33,vn
119301,2005-11-10,1,38,vn
129916,1992-02-16,1,55,vn
126728,2006-01-24,2,32,vn
129302,1959-08-10,2,54,vn
127596,2008-05-31,1,12,vn
128327,1998-10-01,2,56,vn
119380,1992-01-03,1,36,vn
128602,1980-06-23,1,46,vn
124018,1992-04-20,1,15,vn
122052,2010-07-11,1,61,vn
122511,1998-04-14,1,27,vn
125896,1956-03-15,1,28,vn
119262,1984-03-13,2,49,vn
104548,1982-04-08,1,21,vn
106094,1951-09-01,2,45,vn
126238,1998-12-25,1,18,vn
123568,1985-07-22,2,48,vn
123693,1994-05-25,1,51,vn
100390,1979-04-12,1,49,vn
114311,1981-08-28,2,41,vn
117658,2003-07-01,2,55,vn
125842,1998-01-19,2,14,vn
100879,1974-09-06,2,32,vn
124283,1971-09-05,1,17,vn
109126,2007-10-19,2,63,vn
116688,1984-08-14,2,42,vn
112567,1979-05-02,1,46,vn
113882,1989-03-05,2,38,vn
118529,1957-11-05,1,7,vn
116177,1990-05-18,1,54,vn
116315,2008-05-29,2,32,vn
117905,2006-03-09,1,62,vn
106628,1996-05-29,2,48,vn
116347,1986-03-06,2,39,vn
100042,1979-07-16,2,40,vn
106656,1990-04-13,2,9,vn
107660,2008-02-09,1,27,vn
118305,1995-02-06,1,36,vn
108553,1963-12-09,2,20,vn
101588,1981-06-26,2,5,vn
117510,1964-11-16,1,5,vn
119613,2010-10-18,1,50,vn
111352,1959-02-09,2,41,vn
105744,1981-05-18,2,26,vn
103509,2005-04-05,2,47,vn
116994,1999-10-03,1,48,vn
104910,1950-07-06,2,10,vn
125454,1998-10-01,2,13,vn
119898,1952-10-06,1,9,vn
105572,1950-10-12,2,7,vn
110471,1985-04-22,1,44,vn
107855,1969-12-28,2,7,vn
116088,1978-02-18,1,37,vn
119500,1963-12-13,2,45,vn
120613,2000-10-27,1,38,vn
117521,1968-09-30,2,5,vn
100701,1982-09-13,1,30,vn
125358,1959-10-05,2,29,vn
104437,2004-12-19,2,58,vn
109426,1976-04-23,1,33,vn
122405,1959-07-09,1,4,vn
121671,1985-08-13,2,45,vn
114009,1965-01-18,2,58,vn
124754,1959-07-03,1,49,vn
108523,1980-01-10,2,62,vn
101584,1961-11-06,2,56,vn
125935,1974-02-05,1,18,vn
106456,1963-12-03,2,54,vn
125173,2003-10-31,1,41,vn
113300,1985-07-18,1,6,vn
127796,1966-03-10,2,14,vn
122588,2008-01-03,1,29,vn
116736,1991-10-29,2,51,vn
129475,1974-04-06,1,46,vn
108907,1957-01-07,2,20,vn
122713,1963-11-07,2,56,vn
112909,1969-05-16,2,21,vn
100691,1989-10-29,1,3,vn
123116,1983-09-03,1,49,vn
128968,1996-07-18,1,40,vn
114617,1966-05-17,2,19,vn
100325,1997-06-23,1,37,vn
116438,1991-05-25,2,32,vn
105522,1954-02-02,2,1,vn
108157,1986-03-18,2,5,vn
105434,1988-04-15,2,31,vn
100364,1998-01-03,2,8,vn
111442,1965-12-24,2,2,vn
122997,1977-07-31,2,42,vn
116389,1973-12-04,1,53,vn
116123,2001-09-26,1,8,vn
101027,1955-05-30,2,50,vn
126938,2005-07-19,1,9,vn
118614,1993-11-30,1,36,vn
123025,1958-12-28,1,3,vn
124382,1957-04-03,1,15,vn
115202,1990-03-03,1,53,vn
102503,1962-02-11,2,13,vn
117741,1969-02-14,2,49,vn
118639,1985-05-13,2,12,vn
117839,1991-01-16,2,20,vn
106422,1954-10-02,2,37,vn
100358,1956-08-24,2,53,vn
128770,2001-06-01,2,53,vn
101941,2001-01-05,2,13,vn
114189,2003-03-24,1,11,vn
106591,1974-05-16,1,10,vn
102549,1951-07-15,2,12,vn
100632,1967-01-13,2,48,vn
119914,1956-03-27,2,2,vn
105590,1992-10-04,1,29,vn
114776,2002-12-06,2,50,vn
116904,1970-11-28,2,54,vn
124219,2000-05-29,2,38,vn
128734,2002-03-05,2,28,vn
118048,2006-04-23,1,32,vn
118543,2002-12-29,1,9,vn
110703,1987-05-20,1,8,vn
106339,1972-12-31,1,58,vn
112234,1951-08-03,1,26,vn
101888,2002-12-06,2,55,vn
126821,2000-08-24,2,51,vn
129161,2004-02-19,1,7,vn
104651,1984-06-15,1,58,vn
102642,1957-09-21,1,21,vn
126117,2006-03-09,2,26,vn
102820,1992-06-07,1,54,vn
111813,1955-09-24,1,28,vn
128292,1988-12-20,2,57,vn
128418,1969-06-20,2,28,vn
127912,1978-10-30,2,52,vn
116953,1958-03-05,1,38,vn
112811,1989-05-09,2,42,vn
118011,1969-07-13,1,25,vn
116455,1985-01-25,2,35,vn
101726,1968-10-11,2,34,vn
127109,2005-05-11,2,63,vn
118486,1996-09-11,2,5,vn
119413,1951-11-30,2,35,vn
129053,1982-11-23,1,40,vn
128317,2001-02-11,1,56,vn
115079,1962-07-21,1,41,vn
110509,1961-05-29,2,30,vn
129250,2009-12-09,1,17,vn
120691,1955-12-29,1,62,vn
115200,2008-10-28,1,34,vn
112180,1994-06-27,2,14,vn
102979,1993-08-25,1,46,vn
116135,2002-06-12,2,24,vn
112733,1956-03-14,2,34,vn
122693,1965-01-27,1,5,vn
128343,2006-11-28,1,23,vn
115944,2003-01-09,2,14,vn
115475,1977-07-08,2,46,vn
117220,1971-04-10,1,27,vn
110606,1950-10-22,2,33,vn
102407,2005-04-25,2,25,vn
102634,1982-09-16,1,18,vn
101223,1960-03-22,1,18,vn
117799,2001-08-22,2,46,vn
105237,1968-09-12,1,15,vn
119602,1995-07-25,2,43,vn
129016,1953-10-10,2,23,vn
124540,1961-08-04,1,34,vn
126120,2001-10-13,2,39,vn
123215,2002-05-27,2,59,vn
114243,2002-12-25,2,54,vn
127931,2005-01-05,1,8,vn
127199,1957-12-23,1,29,vn
123982,1952-06-02,2,47,vn
117920,1977-08-12,2,1,vn
105046,1966-05-19,1,63,vn
111300,1994-02-13,2,55,vn
100274,1956-09-25,2,9,vn
103617,1968-02-17,2,29,vn
105076,1954-05-22,2,6,vn
114812,2004-08-11,2,32,vn
111833,1959-03-16,2,27,vn
118520,1967-06-25,1,13,vn
113164,1965-01-04,1,45,vn
127367,1999-01-23,2,22,vn
126630,1961-02-20,2,17,vn
100425,1985-10-22,1,26,vn
102443,2005-01-20,2,59,vn
117162,1998-05-24,1,26,vn
115255,1993-02-21,2,59,vn
128328,1961-10-28,2,51,vn
120654,1952-06-26,1,23,vn
120940,1953-07-11,1,51,vn
119068,2010-10-07,2,57,vn
105346,1988-06-01,1,32,vn
101864,1993-02-15,1,55,vn
107306,1997-07-27,2,43,vn
107594,1954-05-28,2,55,vn
109291,2009-01-06,2,35,vn
127236,1989-11-10,1,62,vn
127157,1963-03-27,2,12,vn
107371,2003-06-05,2,15,vn
108595,2010-06-23,2,50,vn
126744,1984-07-30,2,25,vn
100084,1982-10-27,1,46,vn
128816,1968-11-25,2,42,vn
115854,1974-05-27,1,24,vn
116939,1979-11-23,2,57,vn
114917,1954-04-15,1,8,vn
110875,1954-02-01,2,34,vn
120897,1956-01-17,1,53,vn
120893,1952-01-23,1,8,vn
102043,1990-08-16,1,60,vn
118852,1978-03-15,1,51,vn
122367,1968-11-03,1,11,vn
117752,1950-08-07,1,7,vn
119888,2005-05-08,1,61,vn
106953,2006-08-08,1,18,vn
129377,1955-03-24,2,55,vn
123267,1983-05-25,2,59,vn
125263,2001-01-04,1,13,vn
109196,2009-03-01,2,24,vn
116042,1962-09-13,2,47,vn
120262,1963-03-26,2,9,vn
122711,1986-10-07,2,2,vn
115821,2000-12-13,2,42,vn
125871,1976-10-17,2,52,vn
111220,1958-12-16,1,29,vn
104699,1992-06-16,1,52,vn
125970,2001-08-06,2,56,vn
116759,2007-07-01,1,26,vn
129726,1971-11-10,2,17,vn
107159,1980-08-11,1,46,vn
122273,1970-08-31,2,41,vn
128384,1961-05-30,2,4,vn
103160,1970-05-30,2,27,vn
128549,1987-03-10,1,39,vn
128788,1967-02-28,1,43,vn
120735,2007-02-07,1,43,vn
124290,1964-05-06,2,48,vn
126599,1998-06-09,2,6,vn
106728,1975-08-29,1,38,vn
107266,1989-12-01,2,62,vn
